C,A,dC_dt,dA_dt,T_star,R_star,L_star,M_star,f_ras
0.05,0.1,0.0185414,0.0672,1.16667,0.0544236,0.166667,1.05771e-06,1
0.075,0.1,0.0128365,0.0933,1.5,0.0857012,0.166667,6.50369e-06,1
0.1,0.1,0.00715645,0.1194,1.83333,0.120862,0.166667,2.57251e-05,1
0.125,0.1,0.0015076,0.1455,2.16667,0.158189,0.166667,7.54877e-05,1
0.15,0.1,-0.00410386,0.1716,2.5,0.196208,0.166667,0.000178641,1
0.175,0.1,-0.00967326,0.1977,2.83333,0.233754,0.166667,0.000359794,1
0.2,0.1,-0.0151988,0.2238,3.16667,0.269978,0.166667,0.000640005,1
0.225,0.1,-0.0206824,0.2499,3.5,0.304318,0.166667,0.00103267,1
0.25,0.1,-0.0261296,0.276,3.83333,0.33644,0.166667,0.00154173,1
0.275,0.1,-0.0315489,0.3021,4.16667,0.366194,0.166667,0.00216215,1
0.3,0.1,-0.0369508,0.3282,4.5,0.393555,0.166667,0.00288185,1
0.325,0.1,-0.0423467,0.3543,4.83333,0.418586,0.166667,0.00368426,1
0.35,0.1,-0.0477478,0.3804,5.16667,0.441404,0.166667,0.00455074,1
0.375,0.1,-0.0531645,0.4065,5.5,0.462157,0.166667,0.00546256,1
0.4,0.1,-0.0586057,0.4326,5.83333,0.481006,0.166667,0.00640219,1
0.425,0.1,-0.0640788,0.4587,6.16667,0.498118,0.166667,0.00735417,1
0.45,0.1,-0.0695896,0.4848,6.5,0.513653,0.166667,0.00830542,1
0.475,0.1,-0.0751421,0.5109,6.83333,0.527763,0.166667,0.00924531,1
0.5,0.1,-0.0807387,0.537,7.16667,0.540589,0.166667,0.0101655,1
0.525,0.1,-0.0863806,0.5631,7.5,0.552261,0.166667,0.0110598,1
0.55,0.1,-0.0920679,0.5892,7.83333,0.562897,0.166667,0.0119236,1
0.575,0.1,-0.0977999,0.6153,8.16667,0.572601,0.166667,0.012754,1
0.6,0.1,-0.103575,0.6414,8.5,0.58147,0.166667,0.013549,1
0.625,0.1,-0.109391,0.6675,8.83333,0.589588,0.166667,0.0143078,1
0.65,0.1,-0.115247,0.6936,9.16667,0.59703,0.166667,0.0150302,1
0.675,0.1,-0.121138,0.7197,9.5,0.603865,0.166667,0.0157165,1
0.7,0.1,-0.127064,0.7458,9.83333,0.610151,0.166667,0.0163677,1
0.725,0.1,-0.133021,0.7719,10.1667,0.615943,0.166667,0.0169847,1
0.75,0.1,-0.139007,0.798,10.5,0.621288,0.166667,0.0175688,1
0.775,0.1,-0.14502,0.8241,10.8333,0.626228,0.166667,0.0181215,1
0.8,0.1,-0.151057,0.8502,11.1667,0.630801,0.166667,0.0186442,1
0.825,0.1,-0.157116,0.8763,11.5,0.635042,0.166667,0.0191385,1
0.85,0.1,-0.163195,0.9024,11.8333,0.638979,0.166667,0.0196059,1
0.875,0.1,-0.169292,0.9285,12.1667,0.642641,0.166667,0.0200478,1
0.9,0.1,-0.175406,0.9546,12.5,0.646051,0.166667,0.0204657,1
0.925,0.1,-0.181535,0.9807,12.8333,0.649231,0.166667,0.0208611,1
0.95,0.1,-0.187678,1.0068,13.1667,0.6522,0.166667,0.0212352,1
0.975,0.1,-0.193834,1.0329,13.5,0.654977,0.166667,0.0215893,1
1,0.1,-0.2,1.059,13.8333,0.657577,0.166667,0.0219246,1
0,0.125,0.0300067,0.00625,0.625,0.0165163,0.208333,2.19031e-08,1
0.025,0.125,0.0242736,0.031625,0.958333,0.0376553,0.208333,5.91776e-07,1
0.05,0.125,0.0185572,0.057,1.29167,0.0655825,0.208333,5.44507e-06,1
0.075,0.125,0.0128652,0.082375,1.625,0.0985276,0.208333,2.77377e-05,1
0.1,0.125,0.00720782,0.10775,1.95833,0.134691,0.208333,9.68627e-05,1
0.125,0.125,0.00159848,0.133125,2.29167,0.172434,0.208333,0.000260141,1
0.15,0.125,-0.00394938,0.1585,2.625,0.210395,0.208333,0.000576348,1
0.175,0.125,-0.00942552,0.183875,2.95833,0.247529,0.208333,0.00110347,1
0.2,0.125,-0.014826,0.20925,3.29167,0.283099,0.208333,0.00188618,1
0.225,0.125,-0.0201543,0.234625,3.625,0.316635,0.208333,0.00294773,1
0.25,0.125,-0.0254211,0.26,3.95833,0.347879,0.208333,0.00428781,1
0.275,0.125,-0.0306424,0.285375,4.29167,0.376733,0.208333,0.00588551,1
0.3,0.125,-0.035837,0.31075,4.625,0.40321,0.208333,0.00770505,1
0.325,0.125,-0.0410248,0.336125,4.95833,0.427395,0.208333,0.00970225,1
0.35,0.125,-0.0462247,0.3615,5.29167,0.44942,0.208333,0.0118302,1
0.375,0.125,-0.0514532,0.386875,5.625,0.469439,0.208333,0.0140437,1
0.4,0.125,-0.0567244,0.41225,5.95833,0.487618,0.208333,0.0163017,1
0.425,0.125,-0.0620491,0.437625,6.29167,0.50412,0.208333,0.0185691,1
0.45,0.125,-0.0674354,0.463,6.625,0.519103,0.208333,0.020817,1
0.475,0.125,-0.0728883,0.488375,6.95833,0.532716,0.208333,0.0230227,1
0.5,0.125,-0.0784108,0.51375,7.29167,0.545095,0.208333,0.0251687,1
0.525,0.125,-0.0840039,0.539125,7.625,0.556365,0.208333,0.0272425,1
0.55,0.125,-0.0896669,0.5645,7.95833,0.56664,0.208333,0.0292358,1
0.575,0.125,-0.095398,0.589875,8.29167,0.57602,0.208333,0.0311431,1
0.6,0.125,-0.101195,0.61525,8.625,0.584598,0.208333,0.0329619,1
0.625,0.125,-0.107053,0.640625,8.95833,0.592454,0.208333,0.0346913,1
0.65,0.125,-0.112971,0.666,9.29167,0.599661,0.208333,0.0363323,1
0.675,0.125,-0.118943,0.691375,9.625,0.606283,0.208333,0.0378867,1
0.7,0.125,-0.124966,0.71675,9.95833,0.612378,0.208333,0.0393573,1
0.725,0.125,-0.131036,0.742125,10.2917,0.617997,0.208333,0.0407472,1
0.75,0.125,-0.137149,0.7675,10.625,0.623186,0.208333,0.04206,1
0.775,0.125,-0.143303,0.792875,10.9583,0.627984,0.208333,0.0432996,1
0.8,0.125,-0.149493,0.81825,11.2917,0.632429,0.208333,0.0444697,1
0.825,0.125,-0.155716,0.843625,11.625,0.636552,0.208333,0.0455741,1
0.85,0.125,-0.16197,0.869,11.9583,0.640383,0.208333,0.0466167,1
0.875,0.125,-0.168252,0.894375,12.2917,0.643948,0.208333,0.047601,1
0.9,0.125,-0.174559,0.91975,12.625,0.647269,0.208333,0.0485307,1
0.925,0.125,-0.180889,0.945125,12.9583,0.650368,0.208333,0.0494089,1
0.95,0.125,-0.187241,0.9705,13.2917,0.653263,0.208333,0.050239,1
0.975,0.125,-0.193612,0.995875,13.625,0.655972,0.208333,0.0510239,1
1,0.125,-0.2,1.02125,13.9583,0.658509,0.208333,0.0517665,1
0,0.15,0.0300116,-0.0025,0.75,0.0235439,0.25,1.87541e-07,1
0.025,0.15,0.0242847,0.02215,1.08333,0.0474243,0.25,3.08732e-06,1
0.05,0.15,0.0185796,0.0468,1.41667,0.0774472,0.25,2.19579e-05,1
