seed_label,direction,f_ras,C,A,T,R,L,M
slightly_more_benign,down,0.9183673469387755,0.5921858922760093,0.4875816728372638,0.3605802237459969,0.3415007984014736,0.7313725092270321,0.4457754657124875
slightly_more_benign,down,0.8979591836734694,0.5894622216509646,0.48493449919418546,0.358669279154113,0.34005921749398965,0.7274017487994061,0.441554479076354
slightly_more_benign,down,0.8775510204081632,0.5866033168922204,0.482221220288604,0.3567042246591251,0.33856151528900286,0.72333183043741,0.4371150499043856
slightly_more_benign,down,0.8571428571428572,0.5835950933249916,0.4794361103399084,0.35468014804943804,0.33700247674350603,0.7191541653447945,0.4324368273030422
slightly_more_benign,down,0.8367346938775511,0.5804211073857984,0.47657251003821915,0.35259133036290363,0.335376032494654,0.7148587650441529,0.4274963068671045
slightly_more_benign,down,0.8163265306122449,0.5770619792280861,0.4736225993301222,0.35043104901031813,0.33367504972284023,0.710433899007649,0.4222660883684248
slightly_more_benign,down,0.7959183673469388,0.5734946279532468,0.47057709636060163,0.3481913173799131,0.3318910557357399,0.7058656445799814,0.4167139015930691
slightly_more_benign,down,0.7755102040816326,0.5696912280848863,0.46742484707213605,0.34586252942948953,0.3300138601124752,0.7011372706498087,0.41080128176136466
slightly_more_benign,down,0.7551020408163265,0.5656177606428064,0.4641522555425961,0.3434329664538833,0.32803103002605516,0.6962283832608499,0.4044817417479273
slightly_more_benign,down,0.7346938775510204,0.5612319470208308,0.4607424719864525,0.3408880939808963,0.3259271417309125,0.691113707964239,0.39769818057766604
slightly_more_benign,down,0.7142857142857143,0.5564802078675515,0.4571741981777473,0.3382095270298713,0.3236826778424107,0.6857612969179232,0.39037908840110197
slightly_more_benign,down,0.6938775510204083,0.5512930356793005,0.4534198701014039,0.3353734564071177,0.3212723491479268,0.6801298050980464,0.38243280923738093
slightly_more_benign,down,0.6734693877551021,0.5455776073305012,0.4494427581723926,0.3323481362564233,0.31866241191725114,0.6741641372144244,0.3737384241911576
slightly_more_benign,down,0.653061224489796,0.5392053781369051,0.4451920982329835,0.3290896665644126,0.3158061609339921,0.6677881470256433,0.3641305402667817
slightly_more_benign,down,0.6326530612244898,0.5319896971286346,0.44059430867701294,0.3255343840908356,0.3126357885262377,0.6608914627772066,0.3533719959336819
slightly_more_benign,down,0.6122448979591837,0.5236415173028581,0.43553561626642723,0.32158380912568846,0.3090462596645182,0.6533034241714089,0.3411001741153347
slightly_more_benign,down,0.5918367346938775,0.513669632509211,0.42982292489050233,0.3170707412004941,0.30485894718227163,0.6447343854139226,0.3267068160292189
slightly_more_benign,down,0.5714285714285714,0.5011064805538628,0.4230762664574383,0.3116660776137716,0.29972154442464716,0.6346144031314652,0.3090098418875522
slightly_more_benign,down,0.5510204081632654,0.4834245627721116,0.4143037585993025,0.30451054434769076,0.29271182112735983,0.6214556390972629,0.28496553145819276
slightly_more_benign,down,0.5306122448979592,0.4419766836986632,0.39617954054291343,0.2892696840411756,0.27700421805619846,0.594315426653918,0.23267932030585287
slightly_more_benign,down,0.5102040816326531,0.10464629875037476,0.2246141401885286,0.1501236150011017,0.09709287594509666,0.3369212101928124,0.0013030910359768855
slightly_more_benign,down,0.4897959183673469,0.0982879451486348,0.21616539751490757,0.14424654720074534,0.08951921795373821,0.32424809622424683,0.0008581465481629483
slightly_more_benign,down,0.4693877551020409,0.09237711045322533,0.20782973293271922,0.1384825894132899,0.08227031500020818,0.3117445988778086,0.0005567281442586876
slightly_more_benign,down,0.44897959183673475,0.08681573638918254,0.19955342071590182,0.13278889154498102,0.07530758982820279,0.29933013106703743,0.00035448710539369394
slightly_more_benign,down,0.4285714285714286,0.08153555993712444,0.19129826641228012,0.1271351282298942,0.06861087950356475,0.28694739962113847,0.00022075774175161713
slightly_more_benign,down,0.40816326530612246,0.07648812910928889,0.18303654912857342,0.12149939378723092,0.06217248340685562,0.27455482369868844,0.00013399514820758185
